"","data.pct_covid","data.covid_se","data.pct_covid_unw","data.covid_se_unw","data.sample_size","data.country","data.region","data.iso_code","data.gid_0","data.gid_1","data.survey_date","status"
"76",0.010919,0.004008,0.013255,0.004389,679,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200715","success"
"77",0.015852,0.007017,0.011645,0.004093,687,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200716","success"
"78",0.009781,0.003783,0.012759,0.004482,627,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200717","success"
"79",0.007341,0.00385,0.007215,0.003215,693,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200718","success"
"80",0.013867,0.005855,0.01138,0.004,703,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200719","success"
"81",0.008156,0.003689,0.007702,0.003132,779,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200720","success"
"82",0.010193,0.003494,0.012755,0.004008,784,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200721","success"
"83",0.014862,0.005224,0.012642,0.003972,791,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200722","success"
"84",0.008397,0.004324,0.007257,0.003234,689,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200723","success"
"85",0.009577,0.004225,0.008942,0.003634,671,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200724","success"
"86",0.009336,0.003638,0.010914,0.003838,733,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200725","success"
"87",0.011248,0.004252,0.01108,0.003896,722,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200726","success"
"88",0.009961,0.003625,0.012392,0.003894,807,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200727","success"
"89",0.007585,0.002891,0.00978,0.003441,818,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200728","success"
"90",0.008746,0.003061,0.011765,0.003898,765,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200729","success"
"91",0.011281,0.004575,0.011952,0.00396,753,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200730","success"
"92",0.010638,0.004336,0.010014,0.003766,699,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200731","success"
"93",0.018603,0.009658,0.010086,0.003793,694,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200801","success"
"94",0.008868,0.0037,0.009642,0.003627,726,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200802","success"
"95",0.014811,0.005525,0.012262,0.004062,734,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200803","success"
"96",0.008129,0.003708,0.008633,0.003509,695,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200804","success"
"97",0.01873,0.00861,0.009845,0.003703,711,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200805","success"
"98",0.007473,0.003044,0.010753,0.004042,651,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200806","success"
"99",0.011559,0.004541,0.012085,0.004247,662,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200807","success"
"100",0.014759,0.005164,0.014493,0.004796,621,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200808","success"
"101",0.010117,0.005573,0.006339,0.00316,631,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200809","success"
"102",0.0059,0.002636,0.008174,0.003324,734,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200810","success"
"103",0.013273,0.004723,0.01355,0.004256,738,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200811","success"
"104",0.000971,0.000971,0.00146,0.001459,685,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200812","success"
"105",0.005938,0.003041,0.006202,0.003091,645,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200813","success"
"106",0.007289,0.005097,0.005217,0.003004,575,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200814","success"
"107",0.016852,0.00808,0.012848,0.005211,467,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200815","success"
"108",0.004361,0.00373,0.003945,0.002784,507,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200816","success"
"109",0.010488,0.004721,0.01217,0.004938,493,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200817","success"
"110",0.012803,0.006331,0.009363,0.004168,534,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200818","success"
"111",0.010421,0.004406,0.011719,0.004756,512,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200819","success"
"112",0.007536,0.003804,0.007752,0.003861,516,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200820","success"
"113",0.012122,0.005502,0.010823,0.004814,462,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200821","success"
"114",0.013015,0.008133,0.008889,0.004425,450,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200822","success"
"115",0.010161,0.004865,0.009328,0.004152,536,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200823","success"
"116",0.021327,0.007335,0.015957,0.005277,564,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200824","success"
"117",0.0145,0.005353,0.014706,0.005161,544,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200825","success"
"118",0.010526,0.004084,0.015094,0.005296,530,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200826","success"
"119",0.00569,0.003288,0.006452,0.003713,465,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200827","success"
"120",0.010909,0.004856,0.011628,0.004719,516,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200828","success"
"121",0.003003,0.00245,0.004246,0.002996,471,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200829","success"
"122",0.004027,0.002638,0.005282,0.003041,568,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200830","success"
"123",0.007987,0.003856,0.009416,0.004191,531,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200831","success"
"124",0.00478,0.002768,0.005964,0.003433,503,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200901","success"
"125",0.007222,0.003204,0.012245,0.004968,490,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200902","success"
"126",0.015709,0.005781,0.020089,0.006629,448,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200903","success"
"127",0.014642,0.006459,0.013761,0.005579,436,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200904","success"
"128",0.014296,0.00623,0.012346,0.005009,486,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200905","success"
"129",0.00983,0.005688,0.007463,0.003717,536,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200906","success"
"130",0.009182,0.00445,0.010619,0.004312,565,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200907","success"
"131",0.018874,0.008871,0.016514,0.005459,545,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200908","success"
"132",0.005332,0.003373,0.005535,0.003187,542,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200909","success"
"133",0.002921,0.001736,0.005736,0.003302,523,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200910","success"
"134",0.005229,0.003143,0.006977,0.004014,430,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200911","success"
"135",0.001177,0.001177,0.002045,0.002043,489,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200912","success"
"136",0.006457,0.004007,0.005837,0.00336,514,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200913","success"
"137",0.002245,0.001638,0.003945,0.002784,507,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200914","success"
"138",0.013706,0.007328,0.010395,0.004625,481,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200915","success"
"139",0.001687,0.001687,0.00211,0.002107,474,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200916","success"
"140",0.007628,0.004867,0.007009,0.004033,428,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200917","success"
"141",0.002435,0.002434,0.002294,0.002291,436,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200918","success"
"142",0.016626,0.008524,0.008715,0.004338,459,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200919","success"
"143",0.005131,0.003471,0.003546,0.002044,846,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200920","success"
"144",0.008529,0.003294,0.008377,0.002949,955,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200921","success"
"145",0.011864,0.004394,0.011561,0.003635,865,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200922","success"
"146",0.011325,0.005113,0.007883,0.002968,888,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200923","success"
"147",0.005967,0.002346,0.008197,0.003085,854,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200924","success"
"148",0.014194,0.004654,0.012543,0.003758,877,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200925","success"
"149",0.004423,0.002248,0.004587,0.002288,872,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200926","success"
"150",0.004779,0.002678,0.004215,0.002103,949,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200927","success"
"151",0.003974,0.002614,0.003311,0.001909,906,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200928","success"
"152",0.011439,0.003839,0.011186,0.003517,894,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200929","success"
"153",0.009107,0.004589,0.005568,0.002483,898,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20200930","success"
"154",0.009383,0.003181,0.012626,0.003967,792,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201001","success"
"155",0.010545,0.003834,0.01087,0.003603,828,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201002","success"
"156",0.012932,0.005053,0.010502,0.003482,857,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201003","success"
"157",0.002865,0.002038,0.002134,0.001508,937,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201004","success"
"158",0.011611,0.004801,0.010417,0.003454,864,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201005","success"
"159",0.008292,0.003427,0.008149,0.003067,859,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201006","success"
"160",0.007025,0.0039,0.004843,0.002415,826,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201007","success"
"161",0.003477,0.002721,0.00235,0.00166,851,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201008","success"
"162",0.007367,0.004066,0.005571,0.002778,718,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201009","success"
"163",0.008967,0.004659,0.006319,0.00315,633,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201010","success"
"164",0.010804,0.004119,0.012442,0.004371,643,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201011","success"
"165",0.003521,0.003513,0.001529,0.001528,654,"Brazil","Rio Grande do Sul","BRA","BRA","BRA.21_1","20201012","success"
